,country,year,age,total_pop,total_suicides,suicide_rate
1630,Sweden,2016,75+ years,852822,145,17.00237564
1636,Sweden,2017,75+ years,852822,169,19.81656196
1642,Sweden,2018,75+ years,852822,159,18.64398432
1643,United States,1985,15-24 years,39551000,5121,12.9478395
1649,United States,1986,15-24 years,39028000,5120,13.11878651
1655,United States,1987,15-24 years,38252000,4924,12.87252954
1661,United States,1988,15-24 years,37398000,4929,13.17984919
1667,United States,1989,15-24 years,36514000,4870,13.33735006
1673,United States,1990,15-24 years,37013300,4869,13.15473087
1679,United States,1991,15-24 years,36399000,4751,13.05255639
1685,United States,1992,15-24 years,36146700,4693,12.98320455
1691,United States,1993,15-24 years,36029400,4849,13.45845337
1697,United States,1994,15-24 years,35942900,4956,13.78853682
1703,United States,1995,15-24 years,35946600,4784,13.30863002
1709,United States,1996,15-24 years,36221800,4358,12.03142859
1715,United States,1997,15-24 years,36579700,4186,11.44350555
1721,United States,1998,15-24 years,37213500,4135,11.11155898
1727,United States,1999,15-24 years,37773512,3901,10.32734261
1733,United States,2000,15-24 years,39183891,3994,10.19296425
1739,United States,2001,15-24 years,39948367,3971,9.940331228
1745,United States,2002,15-24 years,40589783,4010,9.879333427
1751,United States,2003,15-24 years,41206163,3988,9.678163919
1757,United States,2004,15-24 years,41701105,4316,10.34984565
1763,United States,2005,15-24 years,42076849,4212,10.01025528
1769,United States,2006,15-24 years,42435426,4189,9.871469182
1775,United States,2007,15-24 years,42779490,4140,9.677534725
1781,United States,2008,15-24 years,43334046,4298,9.918298421
1787,United States,2009,15-24 years,43642277,4371,10.01551775
1793,United States,2010,15-24 years,43858781,4602,10.49276769
1799,United States,2011,15-24 years,44174628,4822,10.91576821
1805,United States,2012,15-24 years,44367053,4872,10.98112151
1811,United States,2013,15-24 years,44434508,4878,10.97795434
1817,United States,2014,15-24 years,44391330,5079,11.44142336
1823,United States,2015,15-24 years,44248886,5491,12.40935196
1644,United States,1985,25-34 years,42027000,6376,15.17119947
1650,United States,1986,25-34 years,42784000,6711,15.68577038
1656,United States,1987,25-34 years,43315000,6655,15.36419254
1662,United States,1988,25-34 years,43675000,6710,15.36348025
1668,United States,1989,25-34 years,43835000,6565,14.97661686
1674,United States,1990,25-34 years,43160700,6550,15.17584284
1680,United States,1991,25-34 years,42877000,6514,15.19229424
1686,United States,1992,25-34 years,42444800,6172,14.54123945
1692,United States,1993,25-34 years,41875400,6307,15.06134867
1698,United States,1994,25-34 years,41354200,6354,15.36482389
1704,United States,1995,25-34 years,40873200,6292,15.39395007
1710,United States,1996,25-34 years,40368200,5861,14.51885395
1716,United States,1997,25-34 years,39609500,5672,14.31979702
1722,United States,1998,25-34 years,38774400,5365,13.83644879
1728,United States,1999,25-34 years,37935812,5106,13.45957746
1734,United States,2000,25-34 years,39891724,4792,12.01251668
1740,United States,2001,25-34 years,39607306,5070,12.80066864
1746,United States,2002,25-34 years,39928304,5046,12.63765173
1752,United States,2003,25-34 years,39872598,5065,12.70295956
1758,United States,2004,25-34 years,40031937,5074,12.67488006
1764,United States,2005,25-34 years,40142912,4990,12.430588
1770,United States,2006,25-34 years,40415979,4985,12.33423048
1776,United States,2007,25-34 years,40371056,5278,13.07372292
1782,United States,2008,25-34 years,39819575,5300,13.31003658
1788,United States,2009,25-34 years,40198841,5320,13.2342124
1794,United States,2010,25-34 years,40590724,5737,14.13377106
1800,United States,2011,25-34 years,41106344,6100,14.83955858
1806,United States,2012,25-34 years,41696082,6216,14.90787552
1812,United States,2013,25-34 years,42338849,6348,14.99332209
1818,United States,2014,25-34 years,43011091,6569,15.27280487
1824,United States,2015,25-34 years,43692809,6947,15.89964152
1645,United States,1985,35-54 years,54352000,8158,15.00956727
1651,United States,1986,35-54 years,55883000,8749,15.65592398
1657,United States,1987,35-54 years,57581000,8839,15.35054966
1663,United States,1988,35-54 years,59428000,8737,14.70182406
1669,United States,1989,35-54 years,61399000,8973,14.61424453
1675,United States,1990,35-54 years,62491500,9435,15.09805334
1681,United States,1991,35-54 years,65012000,9750,14.99723128
1687,United States,1992,35-54 years,67322000,10027,14.89409108
1693,United States,1993,35-54 years,69441400,10338,14.88737266
1699,United States,1994,35-54 years,71529900,10671,14.91823699
1705,United States,1995,35-54 years,73546400,10999,14.95518475
1711,United States,1996,35-54 years,75763000,11578,15.28186582
1717,United States,1997,35-54 years,77630600,11678,15.04303715
1723,United States,1998,35-54 years,79104800,11968,15.12929683
1729,United States,1999,35-54 years,80615007,11547,14.3236358
1735,United States,2000,35-54 years,82826479,11999,14.48691306
1741,United States,2001,35-54 years,84206859,12577,14.93583795
1747,United States,2002,35-54 years,85000543,13159,15.48107757
1753,United States,2003,35-54 years,85175193,13083,15.36010608
1759,United States,2004,35-54 years,85727457,13544,15.79890559
1765,United States,2005,35-54 years,86344729,13541,15.68248596
1771,United States,2006,35-54 years,86945124,14017,16.12166313
1777,United States,2007,35-54 years,86599978,14503,16.74711742
1783,United States,2008,35-54 years,85896329,14990,17.45126966
1789,United States,2009,35-54 years,85769029,15277,17.81179078
1795,United States,2010,35-54 years,85509738,15371,17.97573044
1801,United States,2011,35-54 years,85051429,15457,18.17370993
1807,United States,2012,35-54 years,84564721,15620,18.47105958
1813,United States,2013,35-54 years,84069533,15172,18.04696596
1819,United States,2014,35-54 years,83600653,15473,18.50822864
1825,United States,2015,35-54 years,83189819,15687,18.85687478
1646,United States,1985,5-14 years,33923000,278,0.819502992
1652,United States,1986,5-14 years,33855000,255,0.753212229
1658,United States,1987,5-14 years,34146000,251,0.735078779
1664,United States,1988,5-14 years,34655000,243,0.701197518
1670,United States,1989,5-14 years,35161000,240,0.682574443
1676,United States,1990,5-14 years,35095200,264,0.752239623
1682,United States,1991,5-14 years,35908000,266,0.740781998
1688,United States,1992,5-14 years,36451500,314,0.861418597
1694,United States,1993,5-14 years,37050300,321,0.866389746
1700,United States,1994,5-14 years,37611300,322,0.856125686
1706,United States,1995,5-14 years,38134500,337,0.883714222
1712,United States,1996,5-14 years,38422300,302,0.786001879
1718,United States,1997,5-14 years,38778100,307,0.791683966
1724,United States,1998,5-14 years,39162600,324,0.827319943
1730,United States,1999,5-14 years,39495230,244,0.617796124
1736,United States,2000,5-14 years,41077577,307,0.747366379
1742,United States,2001,5-14 years,41065494,279,0.679402517
1748,United States,2002,5-14 years,41037286,264,0.643317397
1754,United States,2003,5-14 years,40968637,250,0.610222888
1760,United States,2004,5-14 years,40750728,285,0.699374009
1766,United States,2005,5-14 years,40396536,272,0.673325059
1772,United States,2006,5-14 years,40337284,219,0.542922027
1778,United States,2007,5-14 years,40373299,184,0.455746755
1784,United States,2008,5-14 years,41188226,222,0.538988982
1790,United States,2009,5-14 years,41321805,265,0.6413079
1796,United States,2010,5-14 years,41458299,274,0.66090507
1802,United States,2011,5-14 years,41436606,287,0.692624295
1808,United States,2012,5-14 years,41472067,311,0.749902338
1814,United States,2013,5-14 years,41541673,395,0.950852413
1820,United States,2014,5-14 years,41601797,428,1.028801713
1826,United States,2015,5-14 years,41616888,413,0.992385591
1647,United States,1985,55-74 years,39337000,6870,17.46447365
1653,United States,1986,55-74 years,39556000,7196,18.19193043
1659,United States,1987,55-74 years,39687000,7078,17.8345554
1665,United States,1988,55-74 years,39726000,6702,16.87056336
1671,United States,1989,55-74 years,39775000,6617,16.63607794
1677,United States,1990,55-74 years,39158200,6613,16.88790598
1683,United States,1991,55-74 years,39285000,6325,16.10029273
1689,United States,1992,55-74 years,39385800,6143,15.59699181
1695,United States,1993,55-74 years,39561900,6101,15.42140292
1701,United States,1994,55-74 years,39729300,5677,14.28920218
1707,United States,1995,55-74 years,39890300,5764,14.44962811
1713,United States,1996,55-74 years,40030900,5731,14.31644055
1719,United States,1997,55-74 years,40311500,5609,13.91414361
1725,United States,1998,55-74 years,41071300,5560,13.53743368
1731,United States,1999,55-74 years,41607333,5367,12.89916852
1737,United States,2000,55-74 years,42665670,5237,12.27450547
1743,United States,2001,55-74 years,43621801,5749,13.17918992
1749,United States,2002,55-74 years,44875941,6081,13.55069078
1755,United States,2003,55-74 years,46236780,6178,13.36165711
1761,United States,2004,55-74 years,47542396,6290,13.2302966
1767,United States,2005,55-74 years,48995354,6554,13.37677854
1773,United States,2006,55-74 years,50503527,6967,13.79507613
1779,United States,2007,55-74 years,52056942,7514,14.434194
1785,United States,2008,55-74 years,54006501,8261,15.29630664
1791,United States,2009,55-74 years,55960991,8726,15.59300478
1797,United States,2010,55-74 years,57994490,9358,16.13601568
1803,United States,2011,55-74 years,59825053,9700,16.21394301
1809,United States,2012,55-74 years,61717986,10296,16.68233309
1815,United States,2013,55-74 years,63635071,10929,17.17449172
1821,United States,2014,55-74 years,65533617,11637,17.75729852
1827,United States,2015,55-74 years,67380307,11940,17.72031107
1648,United States,1985,75+ years,11533000,2643,22.91684731
1654,United States,1986,75+ years,11847000,2861,24.14957373
1660,United States,1987,75+ years,12167000,3036,24.95274102
1666,United States,1988,75+ years,12471000,3067,24.59305589
1672,United States,1989,75+ years,12803000,2953,23.06490666
1678,United States,1990,75+ years,13033300,3164,24.27627692
1684,United States,1991,75+ years,13474000,3184,23.63069616
1690,United States,1992,75+ years,13814800,3122,22.59895185
1696,United States,1993,75+ years,14133900,3168,22.41419566
1702,United States,1994,75+ years,14446500,3143,21.7561347
1708,United States,1995,75+ years,14773200,3096,20.95686784
1714,United States,1996,75+ years,15191600,3049,20.07030201
1720,United States,1997,75+ years,15577000,3065,19.67644604
1726,United States,1998,75+ years,16005900,3206,20.0301139
1732,United States,1999,75+ years,16321777,3018,18.49063371
1738,United States,2000,75+ years,16600767,3014,18.15578762
1744,United States,2001,75+ years,16977719,2961,17.44050541
1750,United States,2002,75+ years,17327702,3085,17.80386112
1756,United States,2003,75+ years,17582139,2913,16.56795001
1762,United States,2004,75+ years,17830513,2919,16.37081334
1768,United States,2005,75+ years,18150300,3060,16.85922547
1774,United States,2006,75+ years,18343508,2915,15.89118068
1780,United States,2007,75+ years,18477841,2977,16.11118961
1786,United States,2008,75+ years,18110888,2959,16.33823808
1792,United States,2009,75+ years,18269719,2941,16.09767507
1798,United States,2010,75+ years,18427117,3020,16.38889035
1804,United States,2011,75+ years,18719765,3142,16.78439874
1810,United States,2012,75+ years,19009219,3281,17.2600463
1816,United States,2013,75+ years,19303228,3421,17.72242446
1822,United States,2014,75+ years,19611247,3583,18.27012836
1828,United States,2015,75+ years,19949802,3711,18.60168838
1829,Uruguay,1985,15-24 years,487000,21,4.31211499
1835,Uruguay,1986,15-24 years,490600,30,6.114961272
1841,Uruguay,1987,15-24 years,494500,25,5.055611729
1847,Uruguay,1988,15-24 years,498100,34,6.825938567
1853,Uruguay,1989,15-24 years,501800,44,8.768433639
1859,Uruguay,1990,15-24 years,487000,40,8.213552361
1865,Uruguay,1993,15-24 years,517159,55,10.63502714
1871,Uruguay,1994,15-24 years,525870,43,8.176925856
1877,Uruguay,1995,15-24 years,531648,61,11.47375707
1883,Uruguay,1996,15-24 years,534328,57,10.66760492
1889,Uruguay,1997,15-24 years,534486,60,11.22573837
1895,Uruguay,1998,15-24 years,532518,63,11.83058601
1901,Uruguay,1999,15-24 years,529274,58,10.95840718
1907,Uruguay,2000,15-24 years,525381,75,14.27535446
1913,Uruguay,2001,15-24 years,517991,64,12.35542702
1919,Uruguay,2002,15-24 years,510109,94,18.42743414
1925,Uruguay,2003,15-24 years,503139,59,11.72638178
1931,Uruguay,2004,15-24 years,498590,73,14.64128843
1937,Uruguay,2005,15-24 years,497172,73,14.68304732
1943,Uruguay,2006,15-24 years,497952,62,12.45099929
1949,Uruguay,2007,15-24 years,501433,82,16.35313192
1955,Uruguay,2008,15-24 years,506681,68,13.42067297
1961,Uruguay,2009,15-24 years,512018,77,15.0385338
1967,Uruguay,2010,15-24 years,516236,80,15.49678829
1973,Uruguay,2012,15-24 years,520431,93,17.86980407
1979,Uruguay,2013,15-24 years,520959,88,16.89192432
1985,Uruguay,2014,15-24 years,520664,96,18.43799456
1991,Uruguay,2015,15-24 years,519629,91,17.51249449
1997,Uruguay,2017,15-24 years,519629,113,21.74628437
2003,Uruguay,2018,15-24 years,519629,86,16.55026952
2009,Uruguay,2019,15-24 years,519629,106,20.39916941
1830,Uruguay,1985,25-34 years,407000,33,8.108108108
1836,Uruguay,1986,25-34 years,410000,29,7.073170732
1842,Uruguay,1987,25-34 years,413200,22,5.324298161
1848,Uruguay,1988,25-34 years,416400,42,10.08645533
1854,Uruguay,1989,25-34 years,419400,46,10.96804959
1860,Uruguay,1990,25-34 years,440000,35,7.954545455
1866,Uruguay,1993,25-34 years,443121,59,13.31464769
1872,Uruguay,1994,25-34 years,444373,66,14.85238752
1878,Uruguay,1995,25-34 years,446673,67,14.99978732
1884,Uruguay,1996,25-34 years,449937,60,13.33520026
1890,Uruguay,1997,25-34 years,454113,73,16.07529403
1896,Uruguay,1998,25-34 years,459020,85,18.51771165
1902,Uruguay,1999,25-34 years,464500,57,12.27125942
1908,Uruguay,2000,25-34 years,470393,73,15.51893842
1914,Uruguay,2001,25-34 years,475287,58,12.20315304
1920,Uruguay,2002,25-34 years,479957,96,20.00179183
1926,Uruguay,2003,25-34 years,483718,81,16.74529375
1932,Uruguay,2004,25-34 years,485556,74,15.24026065
1938,Uruguay,2005,25-34 years,485027,81,16.70010123
1944,Uruguay,2006,25-34 years,485113,78,16.07872805
1950,Uruguay,2007,25-34 years,483182,80,16.55690816
1956,Uruguay,2008,25-34 years,479786,74,15.423543
1962,Uruguay,2009,25-34 years,475900,91,19.12166422
1968,Uruguay,2010,25-34 years,472250,95,20.11646374
1974,Uruguay,2012,25-34 years,467901,88,18.80739729
1980,Uruguay,2013,25-34 years,466368,94,20.15575683
1986,Uruguay,2014,25-34 years,466165,101,21.66614825
1992,Uruguay,2015,25-34 years,467730,119,25.44202852
1998,Uruguay,2017,25-34 years,467730,117,25.0144314
2004,Uruguay,2018,25-34 years,467730,104,22.23505014
2010,Uruguay,2019,25-34 years,467730,120,25.65582708
1831,Uruguay,1985,35-54 years,683700,83,12.13982741
1837,Uruguay,1986,35-54 years,688100,53,7.702368842
1843,Uruguay,1987,35-54 years,693500,78,11.24729632
1849,Uruguay,1988,35-54 years,698600,73,10.44947037
1855,Uruguay,1989,35-54 years,703900,95,13.49623526
1861,Uruguay,1990,35-54 years,697000,89,12.76901004
1867,Uruguay,1993,35-54 years,716579,120,16.74623454
1873,Uruguay,1994,35-54 years,725979,112,15.42744349
1879,Uruguay,1995,35-54 years,735422,110,14.95739861
1885,Uruguay,1996,35-54 years,744737,107,14.36748812
1891,Uruguay,1997,35-54 years,754561,116,15.37317725
1897,Uruguay,1998,35-54 years,764064,151,19.76274239
1903,Uruguay,1999,35-54 years,772302,128,16.57382734
1909,Uruguay,2000,35-54 years,778709,168,21.57416955
1915,Uruguay,2001,35-54 years,784746,164,20.8984818
1921,Uruguay,2002,35-54 years,788308,191,24.22910842
1927,Uruguay,2003,35-54 years,790560,155,19.60635499
1933,Uruguay,2004,35-54 years,793249,153,19.28776462
1939,Uruguay,2005,35-54 years,797422,130,16.30253492
1945,Uruguay,2006,35-54 years,802529,149,18.56630726
1951,Uruguay,2007,35-54 years,809485,176,21.74221882
1957,Uruguay,2008,35-54 years,817652,170,20.79124126
1963,Uruguay,2009,35-54 years,825992,142,17.1914498
1969,Uruguay,2010,35-54 years,833765,139,16.67136423
1975,Uruguay,2012,35-54 years,847734,188,22.17676771
1981,Uruguay,2013,35-54 years,854436,156,18.25765768
1987,Uruguay,2014,35-54 years,860124,195,22.67114974
1993,Uruguay,2015,35-54 years,864438,173,20.01300267
1999,Uruguay,2017,35-54 years,864438,208,24.06187604
2005,Uruguay,2018,35-54 years,864438,232,26.83824635
2011,Uruguay,2019,35-54 years,864438,225,26.02847168
1832,Uruguay,1985,5-14 years,534100,3,0.561692567
1838,Uruguay,1986,5-14 years,538000,2,0.371747212
1844,Uruguay,1987,5-14 years,542200,2,0.368867577
1850,Uruguay,1988,5-14 years,546200,2,0.366166239
1856,Uruguay,1989,5-14 years,550300,2,0.363438125
1862,Uruguay,1990,5-14 years,539000,6,1.113172542
1868,Uruguay,1993,5-14 years,525602,6,1.141548168
1874,Uruguay,1994,5-14 years,524879,3,0.571560302
1880,Uruguay,1995,5-14 years,525574,2,0.380536328
1886,Uruguay,1996,5-14 years,527870,5,0.94720291
1892,Uruguay,1997,5-14 years,532125,2,0.375851539
1898,Uruguay,1998,5-14 years,537263,4,0.744514325
1904,Uruguay,1999,5-14 years,541785,4,0.738300248
1910,Uruguay,2000,5-14 years,544683,4,0.734372103
1916,Uruguay,2001,5-14 years,546182,4,0.732356614
1922,Uruguay,2002,5-14 years,545498,5,0.916593645
1928,Uruguay,2003,5-14 years,542914,3,0.552573704
1934,Uruguay,2004,5-14 years,539224,7,1.298161803
1940,Uruguay,2005,5-14 years,535316,3,0.560416651
1946,Uruguay,2006,5-14 years,530843,2,0.37675923
1952,Uruguay,2007,5-14 years,526193,6,1.140266024
1958,Uruguay,2008,5-14 years,521482,5,0.958805865
1964,Uruguay,2009,5-14 years,516837,1,0.1934846
1970,Uruguay,2010,5-14 years,512271,4,0.780836706
1976,Uruguay,2012,5-14 years,503926,3,0.595325504
1982,Uruguay,2013,5-14 years,500420,8,1.598657128
1988,Uruguay,2014,5-14 years,497193,1,0.201129139
1994,Uruguay,2015,5-14 years,494107,5,1.011926567
2000,Uruguay,2017,5-14 years,494107,5,1.011926567
2006,Uruguay,2018,5-14 years,494107,7,1.416697193
2012,Uruguay,2019,5-14 years,494107,5,1.011926567
1833,Uruguay,1985,55-74 years,505900,106,20.95275746
1839,Uruguay,1986,55-74 years,509900,105,20.59227299
1845,Uruguay,1987,55-74 years,513700,88,17.13062099
1851,Uruguay,1988,55-74 years,517600,77,14.8763524
1857,Uruguay,1989,55-74 years,521600,115,22.04754601
1863,Uruguay,1990,55-74 years,529000,99,18.71455577
1869,Uruguay,1993,55-74 years,540055,120,22.21995908
1875,Uruguay,1994,55-74 years,543237,130,23.93062328
1881,Uruguay,1995,55-74 years,546267,119,21.78421907
1887,Uruguay,1996,55-74 years,547264,123,22.47544147
1893,Uruguay,1997,55-74 years,548548,146,26.61572005
1899,Uruguay,1998,55-74 years,549816,147,26.73621721
1905,Uruguay,1999,55-74 years,550783,129,23.42120218
1911,Uruguay,2000,55-74 years,551269,163,29.56814187
1917,Uruguay,2001,55-74 years,551141,148,26.85338235
1923,Uruguay,2002,55-74 years,550543,193,35.05629896
1929,Uruguay,2003,55-74 years,550060,165,29.99672763
1935,Uruguay,2004,55-74 years,550427,132,23.98138173
1941,Uruguay,2005,55-74 years,552134,138,24.99393263
1947,Uruguay,2006,55-74 years,551570,165,29.91460739
1953,Uruguay,2007,55-74 years,552490,154,27.87380767
1959,Uruguay,2008,55-74 years,555039,137,24.68295021
1965,Uruguay,2009,55-74 years,559380,127,22.70370768
1971,Uruguay,2010,55-74 years,565530,148,26.17014128
1977,Uruguay,2012,55-74 years,577734,148,25.61732562
1983,Uruguay,2013,55-74 years,586128,114,19.44967652
1989,Uruguay,2014,55-74 years,595425,132,22.16903892
1995,Uruguay,2015,55-74 years,605275,167,27.59076453
2001,Uruguay,2017,55-74 years,605275,160,26.43426542
2007,Uruguay,2018,55-74 years,605275,193,31.88633266
2013,Uruguay,2019,55-74 years,605275,178,29.40812028
1834,Uruguay,1985,75+ years,119700,41,34.25229741
1840,Uruguay,1986,75+ years,121000,43,35.53719008
1846,Uruguay,1987,75+ years,121800,43,35.30377668
1852,Uruguay,1988,75+ years,122700,40,32.599837
1858,Uruguay,1989,75+ years,123700,42,33.95311237
1864,Uruguay,1990,75+ years,142000,46,32.3943662
1870,Uruguay,1993,75+ years,153712,58,37.73290309
1876,Uruguay,1994,75+ years,155958,52,33.34231011
1882,Uruguay,1995,75+ years,158232,68,42.97487234
1888,Uruguay,1996,75+ years,163142,41,25.13148055
1894,Uruguay,1997,75+ years,167829,59,35.15483021
1900,Uruguay,1998,75+ years,172206,71,41.22969002
1906,Uruguay,1999,75+ years,176189,74,42.00035189
1912,Uruguay,2000,75+ years,179734,72,40.05919859
1918,Uruguay,2001,75+ years,185677,61,32.85274967
1924,Uruguay,2002,75+ years,190842,96,50.30339234
1930,Uruguay,2003,75+ years,195381,72,36.85107559
1936,Uruguay,2004,75+ years,199443,81,40.6131075
1942,Uruguay,2005,75+ years,203107,73,35.94164652
1948,Uruguay,2006,75+ years,209438,72,34.3777156
1954,Uruguay,2007,75+ years,215174,78,36.24973277
1960,Uruguay,2008,75+ years,220151,69,31.34212427
1966,Uruguay,2009,75+ years,224179,73,32.56326418
1972,Uruguay,2010,75+ years,227254,81,35.64293698
1978,Uruguay,2012,75+ years,234213,79,33.72998083
1984,Uruguay,2013,75+ years,236359,86,36.3853291
1990,Uruguay,2014,75+ years,238074,66,27.72247284
1996,Uruguay,2015,75+ years,239616,75,31.30008013
2002,Uruguay,2017,75+ years,239616,85,35.47342415
2008,Uruguay,2018,75+ years,239616,87,36.30809295
2014,Uruguay,2019,75+ years,239616,89,37.14276175
2015,Uzbekistan,1990,15-24 years,3912000,326,8.333333333
2021,Uzbekistan,1991,15-24 years,3935900,326,8.28273076
2027,Uzbekistan,1992,15-24 years,4161400,365,8.771086654
2033,Uzbekistan,1993,15-24 years,4183000,335,8.008606263
2039,Uzbekistan,1994,15-24 years,4291000,356,8.296434398
2045,Uzbekistan,1995,15-24 years,4376900,324,7.402499486
2051,Uzbekistan,1996,15-24 years,4423200,366,8.27455236
2057,Uzbekistan,1997,15-24 years,4519800,398,8.805699367
2063,Uzbekistan,1998,15-24 years,4633000,418,9.022231815
2069,Uzbekistan,1999,15-24 years,4776090,491,10.28037579
2075,Uzbekistan,2000,15-24 years,4944157,530,10.71972431
2081,Uzbekistan,2001,15-24 years,5118760,539,10.52989396
2087,Uzbekistan,2002,15-24 years,5300861,466,8.791024703
2093,Uzbekistan,2003,15-24 years,5476293,386,7.048563691
2099,Uzbekistan,2004,15-24 years,5619125,374,6.655840545
2105,Uzbekistan,2005,15-24 years,5754076,298,5.178937504
2111,Uzbekistan,2009,15-24 years,6255927,428,6.841512057
2117,Uzbekistan,2010,15-24 years,6307042,454,7.198303103
2123,Uzbekistan,2011,15-24 years,6303199,512,8.122859519
2129,Uzbekistan,2012,15-24 years,6272030,644,10.26780803
2135,Uzbekistan,2013,15-24 years,6210942,643,10.3526969
2141,Uzbekistan,2014,15-24 years,6119722,694,11.34038442
2147,Uzbekistan,2017,15-24 years,6119722,830,13.56270759
2153,Uzbekistan,2018,15-24 years,6119722,741,12.10839316
2159,Uzbekistan,2019,15-24 years,6119722,788,12.8764019
2016,Uzbekistan,1990,25-34 years,3302300,370,11.20431215
2022,Uzbekistan,1991,25-34 years,3332900,361,10.83140808
2028,Uzbekistan,1992,25-34 years,3511300,339,9.654543901
2034,Uzbekistan,1993,25-34 years,3478400,361,10.37833487
2040,Uzbekistan,1994,25-34 years,3463600,341,9.845247719
2046,Uzbekistan,1995,25-34 years,3487500,355,10.17921147
2052,Uzbekistan,1996,25-34 years,3508500,433,12.34145646
2058,Uzbekistan,1997,25-34 years,3554900,386,10.85825199
2064,Uzbekistan,1998,25-34 years,3605900,396,10.98200172
2070,Uzbekistan,1999,25-34 years,3654312,459,12.56050387
2076,Uzbekistan,2000,25-34 years,3708172,461,12.43200154
2082,Uzbekistan,2001,25-34 years,3779757,486,12.85796944
2088,Uzbekistan,2002,25-34 years,3857142,395,10.24074302
2094,Uzbekistan,2003,25-34 years,3929516,358,9.110536768
2100,Uzbekistan,2004,25-34 years,4016048,303,7.544730541
2106,Uzbekistan,2005,25-34 years,4106150,307,7.476589993
2112,Uzbekistan,2009,25-34 years,4609822,337,7.310477498
2118,Uzbekistan,2010,25-34 years,4766431,328,6.881459104
2124,Uzbekistan,2011,25-34 years,4926345,410,8.322600224
2130,Uzbekistan,2012,25-34 years,5105145,438,8.579580012
2136,Uzbekistan,2013,25-34 years,5292468,474,8.956124062
2142,Uzbekistan,2014,25-34 years,5474388,480,8.768103393
2148,Uzbekistan,2017,25-34 years,5474388,557,10.17465331
2154,Uzbekistan,2018,25-34 years,5474388,524,9.571846205
2160,Uzbekistan,2019,25-34 years,5474388,549,10.02851826
2017,Uzbekistan,1990,35-54 years,2999100,448,14.93781468
2023,Uzbekistan,1991,35-54 years,3041400,424,13.94094825
2029,Uzbekistan,1992,35-54 years,3190000,373,11.69278997
2035,Uzbekistan,1993,35-54 years,3291100,392,11.91091125
2041,Uzbekistan,1994,35-54 years,3512000,448,12.75626424
2047,Uzbekistan,1995,35-54 years,3673500,500,13.61099769
2053,Uzbekistan,1996,35-54 years,3771000,570,15.11535402
2059,Uzbekistan,1997,35-54 years,3969900,489,12.31769062
2065,Uzbekistan,1998,35-54 years,4192100,521,12.42813864
2071,Uzbekistan,1999,35-54 years,4434361,580,13.07967484
2077,Uzbekistan,2000,35-54 years,4670822,626,13.40235188
2083,Uzbekistan,2001,35-54 years,4882730,606,12.4110897
2089,Uzbekistan,2002,35-54 years,5060946,489,9.662225205
2095,Uzbekistan,2003,35-54 years,5232743,462,8.829021414
2101,Uzbekistan,2004,35-54 years,5400760,420,7.776683282
2107,Uzbekistan,2005,35-54 years,5548772,441,7.947704465
2113,Uzbekistan,2009,35-54 years,6335956,469,7.402197869
2119,Uzbekistan,2010,35-54 years,6481770,472,7.281961563
2125,Uzbekistan,2011,35-54 years,6608932,535,8.09510523
2131,Uzbekistan,2012,35-54 years,6748069,493,7.305793702
2137,Uzbekistan,2013,35-54 years,6894306,580,8.41273944
2143,Uzbekistan,2014,35-54 years,7042133,626,8.889352132
2149,Uzbekistan,2017,35-54 years,7042133,720,10.22417498
2155,Uzbekistan,2018,35-54 years,7042133,680,9.656165256
2161,Uzbekistan,2019,35-54 years,7042133,644,9.144956507
2018,Uzbekistan,1990,5-14 years,5098600,62,1.216020084
2024,Uzbekistan,1991,5-14 years,5181700,56,1.080726403
2030,Uzbekistan,1992,5-14 years,5421300,57,1.051408334
2036,Uzbekistan,1993,5-14 years,5575100,54,0.968592492
2042,Uzbekistan,1994,5-14 years,5851300,35,0.598157674
2048,Uzbekistan,1995,5-14 years,5999300,45,0.75008751
2054,Uzbekistan,1996,5-14 years,6080600,50,0.822287274
2060,Uzbekistan,1997,5-14 years,6230700,46,0.738279808
2066,Uzbekistan,1998,5-14 years,6348500,60,0.945105143
2072,Uzbekistan,1999,5-14 years,6415692,77,1.200182303
2078,Uzbekistan,2000,5-14 years,6445666,70,1.086001043
2084,Uzbekistan,2001,5-14 years,6441011,82,1.273092066
2090,Uzbekistan,2002,5-14 years,6392430,68,1.063758227
2096,Uzbekistan,2003,5-14 years,6305265,56,0.888146652
2102,Uzbekistan,2004,5-14 years,6199042,33,0.53234032
2108,Uzbekistan,2005,5-14 years,6076003,40,0.658327522
2114,Uzbekistan,2009,5-14 years,5484372,55,1.002849551
2120,Uzbekistan,2010,5-14 years,5379096,78,1.450057779
2126,Uzbekistan,2011,5-14 years,5299254,73,1.377552388
2132,Uzbekistan,2012,5-14 years,5279769,83,1.572038474
2138,Uzbekistan,2013,5-14 years,5315938,92,1.730644714
2144,Uzbekistan,2014,5-14 years,5393758,104,1.92815473
2150,Uzbekistan,2017,5-14 years,5393758,118,2.187714021
2156,Uzbekistan,2018,5-14 years,5393758,123,2.280413767
2162,Uzbekistan,2019,5-14 years,5393758,125,2.317493666
2019,Uzbekistan,1990,55-74 years,1517000,206,13.57943309
2025,Uzbekistan,1991,55-74 years,1524200,176,11.54704107
2031,Uzbekistan,1992,55-74 years,1614600,162,10.03344482
2037,Uzbekistan,1993,55-74 years,1648500,171,10.37306642
2043,Uzbekistan,1994,55-74 years,1726800,204,11.81375956
