"","age","X","country","year","total_pop","total_suicides","suicide_rate","age_order"
"129","15-24 years",1062,"Singapore",1988,471400,56,11.87950785,1
"130","15-24 years",1068,"Singapore",1989,461500,67,14.51787649,1
"131","15-24 years",1074,"Singapore",1990,462300,48,10.38286827,1
"132","15-24 years",1080,"Singapore",1991,452800,41,9.054770318,1
"133","15-24 years",1086,"Singapore",1992,448100,30,6.694934166,1
"134","15-24 years",1092,"Singapore",1993,442000,32,7.239819005,1
"135","15-24 years",1098,"Singapore",1994,439200,43,9.790528233,1
"136","15-24 years",1104,"Singapore",1995,437300,39,8.91836268,1
"137","15-24 years",1110,"Singapore",1996,434100,26,5.989403363,1
"138","15-24 years",1116,"Singapore",1997,430200,25,5.811250581,1
"139","15-24 years",1122,"Singapore",1998,425500,37,8.695652174,1
"140","15-24 years",1128,"Singapore",1999,421600,23,5.45540797,1
"141","15-24 years",1134,"Singapore",2000,423500,30,7.083825266,1
"142","15-24 years",1140,"Singapore",2001,425500,37,8.695652174,1
"143","15-24 years",1146,"Singapore",2002,426000,35,8.215962441,1
"144","15-24 years",1152,"Singapore",2003,435800,37,8.490133089,1
"145","15-24 years",1158,"Singapore",2004,448900,23,5.123635554,1
"146","15-24 years",1164,"Singapore",2005,459400,29,6.312581628,1
"147","15-24 years",1170,"Singapore",2006,472200,18,3.811944091,1
"148","15-24 years",1176,"Singapore",2007,475800,34,7.145859605,1
"149","15-24 years",1182,"Singapore",2008,488300,20,4.09584272,1
"150","15-24 years",1188,"Singapore",2009,504500,32,6.342913776,1
"151","15-24 years",1194,"Singapore",2010,510800,20,3.915426782,1
"152","15-24 years",1200,"Singapore",2011,515800,26,5.040713455,1
"153","15-24 years",1206,"Singapore",2012,523400,36,6.8781047,1
"154","15-24 years",1212,"Singapore",2013,521955,45,8.621432882,1
"155","15-24 years",1218,"Singapore",2014,511255,25,4.889927727,1
"156","15-24 years",1224,"Singapore",2015,507029,34,6.705730836,1
"157","15-24 years",1230,"Singapore",2017,507029,24,4.733457061,1
"158","15-24 years",1236,"Singapore",2018,507029,46,9.072459366,1
"159","15-24 years",1242,"Singapore",2019,507029,44,8.678004611,1
"160","15-24 years",1248,"Singapore",2020,507029,38,7.494640346,1
"161","15-24 years",1925,"Uruguay",2003,503139,59,11.72638178,1
"162","15-24 years",1931,"Uruguay",2004,498590,73,14.64128843,1
"163","15-24 years",595,"Norway",1986,656000,81,12.34756098,1
"164","15-24 years",601,"Norway",1987,662200,92,13.89308366,1
"165","15-24 years",607,"Norway",1988,665600,112,16.82692308,1
"166","15-24 years",613,"Norway",1989,661700,108,16.32159589,1
"167","15-24 years",619,"Norway",1990,653000,94,14.39509954,1
"168","15-24 years",625,"Norway",1991,642800,104,16.17921593,1
"169","15-24 years",631,"Norway",1992,630600,107,16.96796702,1
"170","15-24 years",1452,"Sweden",1987,1179300,134,11.36267277,1
"171","15-24 years",1458,"Sweden",1988,1182700,144,12.17553057,1
"172","15-24 years",1464,"Sweden",1989,1181000,168,14.22523285,1
"173","15-24 years",1470,"Sweden",1990,1171700,118,10.07083725,1
"174","15-24 years",1476,"Sweden",1991,1153000,128,11.10147441,1
"175","15-24 years",1482,"Sweden",1992,1129800,95,8.408567888,1
"176","15-24 years",1488,"Sweden",1993,1109800,104,9.371057848,1
"177","15-24 years",1494,"Sweden",1994,1099500,93,8.458390177,1
"178","15-24 years",1500,"Sweden",1995,1092200,103,9.430507233,1
"179","15-24 years",1506,"Sweden",1996,1078000,90,8.348794063,1
"180","15-24 years",1512,"Sweden",1997,1060700,97,9.144904308,1
"181","15-24 years",1518,"Sweden",1998,1044700,85,8.136307074,1
"182","15-24 years",1524,"Sweden",1999,1031217,110,10.66700801,1
"183","15-24 years",1530,"Sweden",2000,1025194,89,8.681283738,1
"184","15-24 years",1536,"Sweden",2001,1030012,77,7.47564106,1
"185","15-24 years",1542,"Sweden",2002,1041962,101,9.693251769,1
"186","15-24 years",1548,"Sweden",2003,1061274,95,8.951505455,1
"187","15-24 years",1554,"Sweden",2004,1085164,122,11.2425403,1
"188","15-24 years",1560,"Sweden",2005,1111329,104,9.358164864,1
"189","15-24 years",1566,"Sweden",2006,1143474,124,10.84414687,1
"190","15-24 years",1572,"Sweden",2007,1177928,104,8.829062557,1
"191","15-24 years",1578,"Sweden",2008,1208150,136,11.25688035,1
"192","15-24 years",882,"Russian Federation",1992,20026600,4151,20.72743251,1
"193","15-24 years",888,"Russian Federation",1993,20130500,5132,25.49365391,1
"194","15-24 years",894,"Russian Federation",1994,20555300,6092,29.63712522,1
"195","15-24 years",900,"Russian Federation",1995,20931500,6736,32.18116236,1
"196","15-24 years",906,"Russian Federation",1996,21181100,6688,31.57531951,1
"197","15-24 years",912,"Russian Federation",1997,21430600,6725,31.38036266,1
"198","15-24 years",918,"Russian Federation",1998,21793300,6656,30.5414967,1
"199","15-24 years",924,"Russian Federation",1999,22190500,7200,32.44631712,1
"200","15-24 years",930,"Russian Federation",2000,22513627,7593,33.72624056,1
"201","15-24 years",936,"Russian Federation",2001,22817806,8010,35.10416383,1
"202","15-24 years",942,"Russian Federation",2002,23139972,7721,33.36650537,1
"203","15-24 years",948,"Russian Federation",2003,24198228,7103,29.35338902,1
"204","15-24 years",954,"Russian Federation",2004,24514289,6883,28.07750206,1
"205","15-24 years",960,"Russian Federation",2005,24369477,6654,27.30464835,1
"206","15-24 years",966,"Russian Federation",2006,23994175,6188,25.78959268,1
"207","15-24 years",972,"Russian Federation",2007,23364831,6206,26.56128777,1
"208","15-24 years",978,"Russian Federation",2008,22402187,5779,25.79658852,1
"209","15-24 years",984,"Russian Federation",2009,21292644,5471,25.6943196,1
"210","15-24 years",990,"Russian Federation",2010,20787998,4697,22.59476839,1
"211","15-24 years",996,"Russian Federation",2011,19794609,4309,21.76855325,1
"212","15-24 years",1002,"Russian Federation",2012,18615596,3902,20.96091901,1
"213","15-24 years",1008,"Russian Federation",2013,17463609,3281,18.78764006,1
"214","15-24 years",1014,"Russian Federation",2014,17463609,2778,15.90736485,1
"215","15-24 years",1020,"Russian Federation",2015,15648880,2306,14.73587886,1
